NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,P.VOL$,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,T.VOL$,R.DATE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
+,ZS,2021-03-31,USD,171.67,329400396.0,2021-07-13,243.53,41.86,101.0,2021-07-13,227.18,341950427.0,2021-02-25,CLOSED,32.34,92.0,86.0,77.0
+,BPMC,2021-04-26,USD,101.0,31400900.0,2021-07-13,144.49,43.06,139.0,2021-07-13,82.66,24404704.0,2021-05-04,CLOSED,-18.16,-68.0,86.0,-42.0
+,BPMC,2021-04-26,USD,101.0,31400900.0,2021-07-13,144.49,43.06,139.0,2021-07-13,82.66,24404704.0,2021-05-04,CLOSED,-18.16,-68.0,86.0,-42.0
+,SCCO,2021-07-13,USD,64.39,57887640.0,2022-06-03,88.52,37.47,29.0,2021-07-13,64.39,57887640.0,2021-04-22,OPEN,0.0,0.0,0.0,0.0
-,NFLX,2020-01-23,USD,349.6,6362824880.0,2020-08-04,491.61,40.62,53.0,2020-07-02,491.61,2858061120.0,-,CLOSED,40.62,74.0,72.0,100.0
-,NFLX,2020-01-30,USD,347.74,1852793494.0,2020-06-26,495.11,42.38,72.0,2020-06-26,443.4,3017203980.0,-,CLOSED,27.51,55.0,86.0,65.0
-,AMZN,2020-01-31,USD,2008.72,31270346856.0,2020-08-08,2650.71,31.96,42.0,2020-06-10,2650.71,12467439306.0,-,CLOSED,31.96,71.0,59.0,100.0
-,AMZN,2020-02-03,USD,2004.2,11808145140.0,2020-08-13,2651.76,32.31,42.0,2020-06-10,2651.76,9954051980.0,-,CLOSED,32.31,74.0,57.0,100.0
-,LULU,2020-02-03,USD,246.37,441495040.0,2020-10-15,324.81,31.84,31.0,2020-07-20,324.81,269380098.0,-,CLOSED,31.84,55.0,57.0,100.0
-,MA,2020-02-04,USD,329.12,1358068120.0,2020-11-19,428.09,30.07,26.0,2020-11-19,332.67,904429929.0,-,CLOSED,1.08,1.0,86.0,4.0
-,V,2020-02-10,USD,205.99,1273606740.0,2020-12-25,274.44,33.23,26.0,2020-12-24,208.07,700758953.0,-,CLOSED,1.01,1.0,86.0,3.0
-,V,2020-02-14,USD,210.29,1366603584.0,2020-12-25,282.73,34.45,28.0,2020-12-24,208.07,700758953.0,-,CLOSED,-1.06,-1.0,86.0,-3.0
-,MA,2020-02-28,USD,290.25,3702769665.0,2021-02-06,405.94,39.86,29.0,2021-02-05,337.95,1001954160.0,-,CLOSED,16.43,14.0,86.0,41.0
-,MA,2020-02-28,USD,290.25,3702769665.0,2020-11-21,394.74,36.0,34.0,2020-11-20,321.83,1333148592.0,-,CLOSED,10.88,12.0,86.0,30.0
-,RIO,2020-03-02,USD,48.77,276216208.0,2021-02-24,64.12,31.47,22.0,2020-11-24,64.12,152677535.0,-,CLOSED,31.47,34.0,64.0,100.0
-,RIO,2020-03-02,USD,48.77,276216208.0,2021-01-20,67.83,39.08,30.0,2020-12-03,67.83,112255812.0,-,CLOSED,39.08,41.0,73.0,100.0
-,MA,2020-03-02,USD,306.74,2949057640.0,2021-02-09,429.01,39.86,29.0,2021-02-09,332.65,995721245.0,-,CLOSED,8.45,7.0,86.0,21.0
-,AMZN,2020-03-02,USD,1953.95,13212023715.0,2020-12-31,2876.41,47.21,39.0,2020-07-01,2876.41,9631393396.0,-,CLOSED,47.21,114.0,34.0,100.0
-,MA,2020-03-02,USD,306.74,2949057640.0,2020-11-24,417.17,36.0,34.0,2020-11-24,341.15,1204157155.0,-,CLOSED,11.22,12.0,86.0,31.0
-,LULU,2020-03-02,USD,228.9,534229710.0,2021-02-16,353.1,54.26,39.0,2020-08-13,353.1,294078162.0,-,CLOSED,54.26,97.0,40.0,100.0
-,XAR,2020-03-02,USD,102.75,34724795.0,2020-08-26,137.55,33.87,48.0,2020-08-26,89.51,14957121.0,-,CLOSED,-12.89,-21.0,86.0,-38.0
-,XAR,2020-03-02,USD,102.75,34724795.0,2020-12-20,140.68,36.91,32.0,2020-12-18,110.97,5603985.0,-,CLOSED,8.0,8.0,86.0,22.0
-,LULU,2020-03-02,USD,228.9,534229710.0,2021-02-24,338.15,47.73,34.0,2020-08-05,338.15,389307114.0,-,CLOSED,47.73,90.0,37.0,100.0
-,AMZN,2020-03-02,USD,1953.95,13212023715.0,2021-01-24,3154.85,61.46,47.0,2020-07-09,3154.85,9290343837.0,-,CLOSED,61.46,140.0,34.0,100.0
-,LULU,2020-03-10,USD,203.81,464168880.0,2021-02-24,316.19,55.14,40.0,2020-06-03,316.19,358333830.0,-,CLOSED,55.14,190.0,21.0,100.0
-,MA,2020-03-10,USD,280.57,2264025702.0,2020-12-02,383.82,36.8,35.0,2020-12-02,338.99,1007512179.0,-,CLOSED,20.82,23.0,86.0,57.0
-,TSLA,2020-03-10,USD,645.0,10063846040.0,2020-12-21,878.88,36.26,32.0,2020-12-21,649.86,37721318658.0,-,CLOSED,0.75,1.0,86.0,2.0
-,AMZN,2020-03-10,USD,1891.82,13494919606.0,2021-02-01,3072.69,62.42,48.0,2020-07-08,3072.69,13907049376.0,-,CLOSED,62.42,153.0,31.0,100.0
-,DIS,2020-03-10,USD,111.46,2684369202.0,2020-11-18,171.27,53.66,53.0,2020-11-18,143.9,1360747180.0,-,CLOSED,29.1,34.0,86.0,54.0
-,DIS,2020-03-10,USD,111.46,2684369202.0,2020-07-03,146.41,31.36,69.0,2020-07-02,112.18,1156800160.0,-,CLOSED,0.65,2.0,85.0,2.0
-,XAR,2020-03-10,USD,92.11,44931940.0,2020-09-03,124.05,34.68,49.0,2020-09-03,89.64,11796624.0,-,CLOSED,-2.68,-4.0,86.0,-8.0
-,MA,2020-03-10,USD,280.57,2264025702.0,2021-02-17,394.76,40.7,30.0,2021-02-17,336.53,762913510.0,-,CLOSED,19.95,17.0,86.0,49.0
-,AMZN,2020-03-10,USD,1891.82,13494919606.0,2021-01-08,2801.41,48.08,40.0,2020-07-01,2801.41,11259437790.0,-,CLOSED,48.08,125.0,32.0,100.0
-,RIO,2020-03-10,USD,45.8,214885872.0,2021-01-28,64.08,39.91,31.0,2020-11-24,64.08,132370560.0,-,CLOSED,39.91,45.0,69.0,100.0
-,LULU,2020-03-10,USD,203.81,464168880.0,2021-03-04,302.86,48.6,34.0,2020-06-01,302.86,733818408.0,-,CLOSED,48.6,172.0,20.0,100.0
-,AMZN,2020-03-13,USD,1785.0,15725314500.0,2021-01-11,2643.23,48.08,40.0,2020-06-10,2643.23,11470881114.0,-,CLOSED,48.08,159.0,25.0,100.0
-,MA,2020-03-13,USD,270.01,2662056455.0,2021-02-20,379.9,40.7,30.0,2021-02-19,332.38,1361362004.0,-,CLOSED,23.1,20.0,86.0,57.0
-,MA,2020-03-13,USD,270.01,2662056455.0,2020-12-05,369.37,36.8,35.0,2020-12-04,343.1,1483427160.0,-,CLOSED,27.07,30.0,86.0,74.0
-,LULU,2020-03-13,USD,176.75,518460775.0,2021-02-27,274.21,55.14,40.0,2020-05-22,274.21,455302144.0,-,CLOSED,55.14,232.0,17.0,100.0
