NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,P.VOL$,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,T.VOL$,R.DATE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
+,ASX-CMW,2020-10-09,AUD,0.89,2471830.0,2021-07-13,1.24,39.33,36.0,2021-07-13,0.9,2013325.0,2021-02-27,CLOSED,1.12,1.0,86.0,3.0
+,ASX-A2M,2021-03-31,AUD,7.83,33484142.0,2021-07-13,10.23,30.65,74.0,2021-07-13,7.09,43051941.0,-,CLOSED,-9.45,-27.0,86.0,-31.0
+,ASX-SZL,2021-05-03,AUD,9.1,4440026.0,2021-07-13,12.9,41.76,148.0,2021-07-13,8.87,3907022.0,2021-02-25,CLOSED,-2.53,-10.0,86.0,-6.0
+,ASX-ORA,2021-07-13,AUD,3.4,4231307.0,2022-06-04,4.94,45.29,35.0,2021-07-13,3.4,4231307.0,2021-08-19,OPEN,0.0,0.0,0.0,0.0
+,ASX-S32,2021-07-13,AUD,2.94,42044978.0,2022-02-21,4.02,36.73,42.0,2021-07-13,2.94,42044978.0,2021-08-19,OPEN,0.0,0.0,0.0,0.0
+,ASX-CGC,2021-07-13,AUD,3.28,6711995.0,2022-02-04,5.3,61.59,75.0,2021-07-13,3.28,6711995.0,2021-02-22,OPEN,0.0,0.0,0.0,0.0
+,ASX-CGC,2021-07-13,AUD,3.28,6711995.0,2021-11-08,4.44,35.37,76.0,2021-07-13,3.28,6711995.0,2021-02-22,OPEN,0.0,0.0,1.0,0.0
+,ASX-GEM,2021-07-13,AUD,1.0,2697903.0,2021-12-17,1.35,35.0,56.0,2021-07-13,1.0,2697903.0,2021-02-23,OPEN,0.0,0.0,1.0,0.0
+,ASX-GEM,2021-07-13,AUD,1.0,2697903.0,2022-02-23,1.4,40.0,45.0,2021-07-13,1.0,2697903.0,2021-02-23,OPEN,0.0,0.0,0.0,0.0
-,ASX-A2M,2020-01-22,AUD,15.59,80587859.0,2020-10-24,34.02,118.22,108.0,2020-10-23,14.45,43142628.0,-,CLOSED,-7.31,-8.0,86.0,-6.0
-,ASX-A2M,2020-01-22,AUD,15.59,80587859.0,2020-07-05,23.89,53.24,81.0,2020-07-03,19.83,44111577.0,-,CLOSED,27.2,49.0,85.0,51.0
-,ASX-A2M,2020-01-23,AUD,15.31,38412132.0,2020-08-10,19.97,30.44,38.0,2020-06-18,19.97,40166834.0,-,CLOSED,30.44,60.0,64.0,100.0
-,ASX-NAN,2020-01-28,AUD,6.83,5279378.0,2020-12-18,9.64,41.14,32.0,2020-12-18,7.81,10917763.0,-,CLOSED,14.35,13.0,86.0,35.0
-,ASX-NAN,2020-02-06,AUD,7.15,6046169.0,2021-01-06,9.87,38.04,29.0,2021-01-06,7.47,9364213.0,-,CLOSED,4.48,4.0,86.0,12.0
-,ASX-REA,2020-02-07,AUD,116.9,54905933.0,2020-08-19,153.45,31.27,41.0,2020-08-19,117.62,22301575.0,-,CLOSED,0.62,1.0,86.0,2.0
-,ASX-A2M,2020-02-11,AUD,14.89,52999481.0,2020-08-01,22.17,48.89,72.0,2020-07-31,19.29,51521584.0,-,CLOSED,29.55,51.0,85.0,60.0
