NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,P.VOL$,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,T.VOL$,R.DATE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
+,ASX-OCL,2020-11-18,AUD,13.19,7038078.0,2021-08-03,18.1,37.23,36.0,2021-07-09,18.1,9896459.0,2021-08-24,CLOSED,37.23,47.0,78.0,100.0
+,ASX-OCL,2020-11-18,AUD,13.19,7038078.0,2021-08-03,18.1,37.23,36.0,2021-07-09,18.1,9896459.0,2021-08-24,CLOSED,37.23,47.0,78.0,100.0
+,ASX-OCL,2020-12-04,AUD,13.08,101671.0,2021-08-19,17.95,37.23,36.0,2021-07-09,17.95,9896459.0,2021-08-24,CLOSED,37.23,50.0,72.0,100.0
+,ASX-OCL,2020-12-04,AUD,13.08,101671.0,2021-09-07,17.87,36.62,33.0,2021-07-09,17.87,9896459.0,2021-08-24,CLOSED,36.62,49.0,68.0,100.0
+,ASX-OCL,2020-12-04,AUD,13.08,101671.0,2021-09-07,17.87,36.62,33.0,2021-07-09,17.87,9896459.0,2021-08-24,CLOSED,36.62,49.0,68.0,100.0
+,ASX-OCL,2020-12-04,AUD,13.08,101671.0,2021-08-19,17.95,37.23,36.0,2021-07-09,17.95,9896459.0,2021-08-24,CLOSED,37.23,50.0,72.0,100.0
+,ASX-OCL,2020-12-18,AUD,13.3,578284.0,2021-09-21,18.17,36.62,33.0,2021-07-09,18.17,9896459.0,2021-08-24,CLOSED,36.62,53.0,63.0,100.0
+,ASX-OCL,2020-12-18,AUD,13.3,578284.0,2021-09-21,18.17,36.62,33.0,2021-07-09,18.17,9896459.0,2021-08-24,CLOSED,36.62,53.0,63.0,100.0
+,ASX-OCL,2020-12-23,AUD,12.91,999660.0,2021-09-26,17.64,36.64,33.0,2021-07-09,17.64,9896459.0,2021-08-24,CLOSED,36.64,54.0,62.0,100.0
+,ASX-OCL,2020-12-23,AUD,12.91,999660.0,2021-09-26,17.64,36.64,33.0,2021-07-09,17.64,9896459.0,2021-08-24,CLOSED,36.64,54.0,62.0,100.0
+,ASX-OCL,2021-01-11,AUD,13.1,1201728.0,2021-10-15,17.9,36.64,33.0,2021-07-09,17.9,9896459.0,2021-08-24,CLOSED,36.64,60.0,56.0,100.0
+,ASX-OCL,2021-01-11,AUD,13.1,1201728.0,2021-10-15,17.9,36.64,33.0,2021-07-09,17.9,9896459.0,2021-08-24,CLOSED,36.64,60.0,56.0,100.0
+,ASX-SZL,2021-05-03,AUD,9.1,4440026.0,2021-07-13,12.9,41.76,148.0,2021-07-13,8.87,3907022.0,2021-02-25,CLOSED,-2.53,-10.0,86.0,-6.0
+,ASX-SZL,2021-05-03,AUD,9.1,4440026.0,2021-07-13,12.9,41.76,148.0,2021-07-13,8.87,3907022.0,2021-02-25,CLOSED,-2.53,-10.0,86.0,-6.0
+,ASX-VHT,2021-07-09,AUD,1.16,148903.0,2021-09-19,1.78,53.45,187.0,2021-07-09,1.16,148903.0,2021-04-28,OPEN,0.0,0.0,1.0,0.0
