NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,P.VOL$,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,T.VOL$,R.DATE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
+,2328.HK,2020-08-07,HKD,6.22,172541382.0,2021-07-13,8.6,38.26,28.0,2021-07-13,6.95,58025592.0,-,CLOSED,11.74,10.0,86.0,31.0
+,3898.HK,2021-02-02,HKD,41.45,234420143.0,2021-07-13,59.98,44.7,70.0,2021-07-13,51.2,413473485.0,-,CLOSED,23.52,43.0,86.0,53.0
+,8206.HK,2021-07-13,HKD,0.06,120.0,2022-04-21,0.13,116.67,104.0,2021-07-13,0.06,120.0,-,OPEN,0.0,0.0,0.0,0.0
+,0689.HK,2021-07-13,HKD,0.07,83090.0,2022-03-03,0.22,214.29,232.0,2021-07-13,0.07,83090.0,-,OPEN,0.0,0.0,0.0,0.0
+,0689.HK,2021-07-13,HKD,0.07,83090.0,2021-11-29,0.16,128.57,233.0,2021-07-13,0.07,83090.0,-,OPEN,0.0,0.0,1.0,0.0
+,0861.HK,2021-07-13,HKD,4.81,5906680.0,2022-06-13,6.56,36.38,27.0,2021-07-13,4.81,5906680.0,-,OPEN,0.0,0.0,0.0,0.0
+,0689.HK,2021-07-13,HKD,0.07,83090.0,2021-09-09,0.14,100.0,434.0,2021-07-13,0.07,83090.0,-,OPEN,0.0,0.0,2.0,0.0
+,1103.HK,2021-07-13,HKD,0.02,40160.0,2022-01-07,0.03,50.0,71.0,2021-07-13,0.02,40160.0,-,OPEN,0.0,0.0,1.0,0.0
+,1103.HK,2021-07-13,HKD,0.02,40160.0,2022-03-26,0.03,50.0,49.0,2021-07-13,0.02,40160.0,-,OPEN,0.0,0.0,0.0,0.0
+,0861.HK,2021-07-13,HKD,4.81,5906680.0,2022-05-26,6.39,32.85,26.0,2021-07-13,4.81,5906680.0,-,OPEN,0.0,0.0,0.0,0.0
+,8206.HK,2021-07-13,HKD,0.06,120.0,2022-05-29,0.14,133.33,105.0,2021-07-13,0.06,120.0,-,OPEN,0.0,0.0,0.0,0.0
+,0288.HK,2021-07-13,HKD,6.61,183124042.0,2022-06-25,10.97,65.96,48.0,2021-07-13,6.61,183124042.0,-,OPEN,0.0,0.0,0.0,0.0
-,0175.HK,2020-01-22,HKD,14.1,1319791852.0,2020-11-15,18.96,34.47,29.0,2020-07-13,18.96,1502474828.0,-,CLOSED,34.47,58.0,50.0,100.0
-,0268.HK,2020-01-29,HKD,8.71,145041180.0,2020-09-12,11.65,33.75,37.0,2020-04-20,11.65,234528173.0,-,CLOSED,33.75,122.0,31.0,100.0
-,0175.HK,2020-01-31,HKD,12.54,616968389.0,2020-11-24,16.86,34.45,29.0,2020-07-07,16.86,2687758046.0,-,CLOSED,34.45,64.0,46.0,100.0
-,2208.HK,2020-01-31,HKD,8.23,24639048.0,2020-12-26,10.94,32.93,25.0,2020-10-30,10.94,142961115.0,-,CLOSED,32.93,35.0,71.0,100.0
-,0175.HK,2020-01-31,HKD,12.54,616968389.0,2020-10-23,18.85,50.32,48.0,2020-07-07,18.85,4854658469.0,-,CLOSED,50.32,93.0,51.0,100.0
-,0175.HK,2020-02-03,HKD,12.6,1514913284.0,2020-10-26,18.94,50.32,48.0,2020-07-13,18.94,4854658469.0,-,CLOSED,50.32,91.0,52.0,100.0
-,0857.HK,2020-02-03,HKD,3.38,513851118.0,2020-10-30,5.39,59.47,56.0,2020-10-30,2.17,245255587.0,-,CLOSED,-35.8,-39.0,86.0,-60.0
-,0175.HK,2020-02-03,HKD,12.6,1514913284.0,2020-11-27,16.94,34.44,29.0,2020-07-07,16.94,1105182256.0,-,CLOSED,34.44,65.0,45.0,100.0
-,0175.HK,2020-02-04,HKD,12.76,1167976456.0,2020-11-28,17.16,34.48,29.0,2020-07-07,17.16,1105182256.0,-,CLOSED,34.48,65.0,45.0,100.0
-,0288.HK,2020-02-04,HKD,7.45,398193284.0,2020-08-14,11.31,51.81,68.0,2020-08-14,6.85,225499315.0,-,CLOSED,-8.05,-12.0,86.0,-16.0
-,2208.HK,2020-02-04,HKD,8.31,54505489.0,2021-01-11,11.08,33.33,25.0,2020-11-04,11.08,161990400.0,-,CLOSED,33.33,36.0,69.0,100.0
-,0175.HK,2020-02-04,HKD,12.76,1167976456.0,2020-10-27,19.18,50.31,48.0,2020-07-13,19.18,4854658469.0,-,CLOSED,50.31,92.0,52.0,100.0
-,2208.HK,2020-02-04,HKD,8.31,54505489.0,2020-12-30,11.05,32.97,25.0,2020-11-04,11.05,246001623.0,-,CLOSED,32.97,35.0,72.0,100.0
-,0175.HK,2020-02-05,HKD,13.06,1259320204.0,2020-11-29,17.56,34.46,29.0,2020-07-07,17.56,1105182256.0,-,CLOSED,34.46,66.0,44.0,100.0
-,0175.HK,2020-02-05,HKD,13.06,1259320204.0,2020-10-28,19.63,50.31,48.0,2020-10-28,15.9,863063830.0,-,CLOSED,21.75,24.0,86.0,43.0
-,0288.HK,2020-02-05,HKD,7.66,358355290.0,2020-08-15,11.63,51.83,68.0,2020-08-14,6.85,225499315.0,-,CLOSED,-10.57,-16.0,86.0,-20.0
-,0753.HK,2020-02-07,HKD,6.97,0.0,2021-01-30,9.24,32.57,23.0,2021-07-13,5.47,45826194.0,-,ERROR,-21.52,-12.0,126.0,-66.0
-,3898.HK,2020-02-20,HKD,31.0,150924523.0,2020-11-29,41.29,33.19,30.0,2020-11-27,25.6,26872320.0,-,CLOSED,-17.42,-18.0,86.0,-52.0
-,0753.HK,2020-02-20,HKD,6.98,0.0,2021-02-11,9.25,32.52,23.0,2021-07-13,5.47,45826194.0,-,ERROR,-21.63,-12.0,123.0,-67.0
-,0857.HK,2020-02-25,HKD,3.19,585097085.0,2020-11-20,5.09,59.56,56.0,2020-11-20,2.5,301897035.0,-,CLOSED,-21.63,-23.0,86.0,-36.0
-,2208.HK,2020-03-02,HKD,7.92,49471955.0,2021-01-25,10.53,32.95,25.0,2020-10-15,10.53,424120147.0,-,CLOSED,32.95,42.0,60.0,100.0
