NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,P.VOL$,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,T.VOL$,R.DATE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
+,ASX-SPT,2021-03-30,AUD,0.74,2111054.0,2021-07-09,1.5,102.7,256.0,2021-07-09,0.575,1114206.0,-,CLOSED,-22.3,-65.0,86.0,-22.0
+,ASX-SPT,2021-03-30,AUD,0.74,2111054.0,2021-07-09,1.5,102.7,256.0,2021-07-09,0.575,1114206.0,-,CLOSED,-22.3,-65.0,86.0,-22.0
+,ASX-SPT,2021-04-01,AUD,0.76,996941.0,2021-07-09,1.7,123.68,315.0,2021-07-09,0.575,1114206.0,-,CLOSED,-24.34,-72.0,86.0,-20.0
+,ASX-SPT,2021-04-01,AUD,0.76,996941.0,2021-07-09,1.7,123.68,315.0,2021-07-09,0.575,1114206.0,-,CLOSED,-24.34,-72.0,86.0,-20.0
-,ASX-ALC,2020-11-02,AUD,0.13,170376.0,2021-07-02,0.2,53.85,56.0,2020-11-24,0.2,249676.0,-,CLOSED,53.85,714.0,8.0,100.0
-,ASX-ALC,2020-11-09,AUD,0.18,5812512.0,2021-06-27,0.3,66.67,73.0,2021-03-16,0.3,249676.0,-,CLOSED,66.67,154.0,47.0,100.0
-,ASX-ALC,2020-11-09,AUD,0.18,5812512.0,2021-07-09,0.28,55.56,58.0,2021-03-16,0.28,545597.0,-,CLOSED,55.56,128.0,45.0,100.0
-,ASX-SYR,2020-11-09,AUD,0.49,1418508.0,2021-07-18,1.18,140.82,141.0,2021-01-06,1.18,4016849.0,-,CLOSED,140.82,710.0,20.0,100.0
-,ASX-SYR,2020-11-13,AUD,0.565,2142475.0,2021-07-16,1.23,117.7,121.0,2021-01-07,1.23,2068542.0,-,CLOSED,117.7,631.0,19.0,100.0
-,ASX-SYR,2020-11-13,AUD,0.565,2142475.0,2021-06-08,1.0,76.99,94.0,2020-12-02,1.0,880671.0,-,CLOSED,76.99,1213.0,8.0,100.0
-,ASX-ALC,2020-12-01,AUD,0.21,144380.0,2021-03-11,0.36,71.43,180.0,2021-03-11,0.245,135351.0,-,CLOSED,16.67,49.0,86.0,23.0
-,ASX-AMT,2020-12-07,AUD,0.335,161563.0,2021-02-24,0.47,40.3,129.0,2021-02-24,0.33,91.0,-,CLOSED,-1.49,-6.0,86.0,-4.0
-,ASX-1ST,2020-12-23,AUD,0.03,11394.0,2021-08-03,0.04,33.33,38.0,2021-07-09,0.021,1054.0,-,OPEN,-30.0,-44.0,77.0,-90.0
-,ASX-1ST,2020-12-31,AUD,0.03,412.0,2021-08-11,0.04,33.33,38.0,2021-07-09,0.021,1054.0,-,OPEN,-30.0,-46.0,74.0,-90.0
-,ASX-ALC,2021-01-04,AUD,0.19,128640.0,2021-09-03,0.3,57.89,60.0,2021-03-16,0.3,545597.0,-,CLOSED,57.89,239.0,25.0,100.0
-,ASX-ALC,2021-01-19,AUD,0.19,109589.0,2021-09-18,0.3,57.89,60.0,2021-03-16,0.3,545597.0,-,CLOSED,57.89,304.0,20.0,100.0
-,ASX-1ST,2021-02-04,AUD,0.03,7950.0,2021-09-02,0.04,33.33,40.0,2021-07-09,0.021,1054.0,-,OPEN,-30.0,-57.0,63.0,-90.0
-,ASX-1ST,2021-02-04,AUD,0.03,7950.0,2021-09-15,0.04,33.33,38.0,2021-07-09,0.021,1054.0,-,OPEN,-30.0,-57.0,60.0,-90.0
