SYMBOL,CURRENCY,COMPANY NAME,GICS INDUSTRY GROUP,STOCK TYPE,PE,ASX200 WEIGHT,SHORTSELL%,VOLUME-ABOVE-AVG,VALUE($),LASTCLOSE,CHANGEPCT%,REPORTDATE,RECORDDATE
ASX-DUR,AUD,DURATEC LTD,Capital Goods,PENNY STOCK,,0.0,0.00%,138252.59%,"129,902",0.42,-3.57%,2021-11-01,2021-07-13
MET,USD,METLIFE INC,,,,,,,,,,2021-11-02,2021-07-13
PRU,USD,PRUDENTIAL FINANCIAL INC,,,,,,,,,,2021-11-02,2021-07-13
HST,USD,HOST HOTELS & RESORTS INC,,,,,,,,,,2021-11-02,2021-07-13
AWK,USD,AMERICAN WATER WORKS COMPANY INC,,,,,,,,,,2021-11-02,2021-07-13
PSA,USD,PUBLIC STORAGE,,,,,,,,,,2021-11-02,2021-07-13
DDD,USD,3D SYSTEMS CORP,,,,,,,,,,2021-11-03,2021-07-13
XONE,USD,EXONE CO,,,,,,,,,,2021-11-03,2021-07-13
BKNG,USD,BOOKING HOLDINGS INC,,,,,,,,,,2021-11-03,2021-07-13
SQ,USD,SQUARE INC,,,,,,,,,,2021-11-03,2021-07-13
BABA,USD,ALIBABA GROUP HOLDING LTD,,,,,,,,,,2021-11-03,2021-07-13
VMC,USD,VULCAN MATERIALS CO,,,,,,,,,,2021-11-03,2021-07-13
AIG,USD,AMERICAN INTERNATIONAL GROUP INC,,,,,,,,,,2021-11-03,2021-07-13
BMY,USD,BRISTOL-MYERS SQUIBB CO,,,,,,,,,,2021-11-03,2021-07-13
D,USD,DOMINION ENERGY INC,,,,,,,,,,2021-11-03,2021-07-13
DUK,USD,DUKE ENERGY CORP,,,,,,,,,,2021-11-03,2021-07-13
EOG,USD,EOG RESOURCES INC,,,,,,,,,,2021-11-03,2021-07-13
EA,USD,ELECTRONIC ARTS INC,,,,,,,,,,2021-11-03,2021-07-13
SRPT,USD,SAREPTA THERAPEUTICS INC,,,,,,,,,,2021-11-03,2021-07-13
ALNY,USD,ALNYLAM PHARMACEUTICALS INC,,,,,,,,,,2021-11-03,2021-07-13
NVTA,USD,INVITAE CORP,,,,,,,,,,2021-11-03,2021-07-13
RUN,USD,SUNRUN INC,,,,,,,,,,2021-11-03,2021-07-13
ROKU,USD,ROKU INC,,,,,,,,,,2021-11-03,2021-07-13
VLDR,USD,VELODYNE LIDAR INC,,,,,,,,,,2021-11-03,2021-07-13
ASX-REA,AUD,REA GROUP LTD,Media & Entertainment,ASX200,0.0,0.78,0.02%,0.00%,"25,554,549",,-2.60%,2021-11-04,2021-07-13
ASX-PDL,AUD,PENDAL GROUP LTD,Diversified Financials,ASX200,0.0,0.12,0.02%,134.30%,"9,547,114",,-2.26%,2021-11-04,2021-07-13
VTR,USD,VENTAS INC,,,,,,,,,,2021-11-04,2021-07-13
CVS,USD,CVS HEALTH CORP,,,,,,,,,,2021-11-04,2021-07-13
DUK,USD,DUKE ENERGY CORP,,,,,,,,,,2021-11-04,2021-07-13
ASX-OFX,AUD,OFX GROUP LTD,Diversified Financials,NORMAL,0.0,0.0,0.00%,0.00%,"345,271",,0.00%,2021-11-07,2021-07-13
ASX-ECX,AUD,ECLIPX GROUP LTD,Diversified Financials,NORMAL,0.0,0.0,0.00%,339.45%,"437,053",,-0.91%,2021-11-07,2021-07-13
ASX-JHX,AUD,JAMES HARDIE INDUSTRIES PLC,Materials,ASX200,0.0,0.68,0.02%,383897.30%,"56,261,416",,-1.59%,2021-11-08,2021-07-13
MCD,USD,MCDONALD'S CORP,,,,,,,,,,2021-11-08,2021-07-13
OXY,USD,OCCIDENTAL PETROLEUM CORP,,,,,,,,,,2021-11-08,2021-07-13
SPG,USD,SIMON PROPERTY GROUP INC,,,,,,,,,,2021-11-08,2021-07-13
ASX-SAS,AUD,SKY AND SPACE COMPANY LTD,Telecommunication Services,PENNY STOCK,0.0,0.0,0.00%,0.00%,0,0.0,279900.00%,2021-11-08,2021-07-13
LMND,USD,LEMONADE INC,,,,,,,,,,2021-11-08,2021-07-13
ASX-NAB,AUD,NATIONAL AUSTRALIA BANK LTD,Banks,ASX200,0.0,3.32,0.01%,1812.56%,"165,702,749",,-0.50%,2021-11-09,2021-07-13
ASX-JHX,AUD,JAMES HARDIE INDUSTRIES PLC,Materials,ASX200,0.0,0.68,0.02%,383897.30%,"56,261,416",,-1.59%,2021-11-09,2021-07-13
SSYS,USD,STRATASYS LTD,,,,,,,,,,2021-11-10,2021-07-13
VJET,USD,VOXELJET AG,,,,,,,,,,2021-11-10,2021-07-13
PDD,USD,PINDUODUO INC,,,,,,,,,,2021-11-10,2021-07-13
DIS,USD,WALT DISNEY CO,,,,,,,,,,2021-11-10,2021-07-13
ASX-AST,AUD,AUSNET SERVICES LTD,Utilities,ASX200,0.0,0.38,0.01%,17796.26%,"9,529,896",,-0.57%,2021-11-11,2021-07-13
ASX-GNC,AUD,GRAINCORP LTD,Food & Staples Retailing,ASX200,0.0,0.06,0.04%,4122.61%,"5,635,361",,0.20%,2021-11-11,2021-07-13
ASX-ORI,AUD,ORICA LTD,Materials,ASX200,0.0,0.41,0.08%,21.19%,"20,068,792",,-2.57%,2021-11-11,2021-07-13
ASX-XRO,AUD,XERO LTD,Software & Services,ASX200,0.0,0.71,0.02%,0.00%,"56,467,426",,-1.84%,2021-11-11,2021-07-13
ASX-KSC,AUD,K&S CORPORATION LTD,Transportation,NORMAL,0.0,0.0,0.00%,1.73%,"43,930",,0.65%,2021-11-11,2021-07-13
BIDU,USD,BAIDU INC,,,,,,,,,,2021-11-15,2021-07-13
ASX-ELD,AUD,ELDERS LTD,"Food, Beverage & Tobacco",ASX200,0.0,0.09,0.04%,6378.70%,"7,327,408",,-1.43%,2021-11-15,2021-07-13
ASX-IPL,AUD,INCITEC PIVOT LTD,Materials,ASX200,0.0,0.22,0.03%,537.75%,"15,771,548",,-2.05%,2021-11-15,2021-07-13
ASX-UMG,AUD,UNITED MALT GROUP LTD,"Food, Beverage & Tobacco",ASX200,,0.08,0.02%,341.98%,"5,480,879",,0.00%,2021-11-15,2021-07-13
ASX-UNI,AUD,UNIVERSAL STORE HOLDINGS LTD,Retailing,NORMAL,,0.0,0.00%,4.34%,"292,850",,-2.61%,2021-11-15,2021-07-13
ASX-PLT,AUD,PLENTI GROUP LTD,Diversified Financials,NORMAL,0.0,0.0,0.00%,4673.80%,"62,629",,-0.74%,2021-11-15,2021-07-13
ASX-AAC,AUD,AUSTRALIAN AGRICULTURAL COMPANY LTD,"Food, Beverage & Tobacco",NORMAL,0.0,0.0,0.00%,18.86%,"341,168",,-1.09%,2021-11-16,2021-07-13
HD,USD,HOME DEPOT INC,,,,,,,,,,2021-11-16,2021-07-13
TGT,USD,TARGET CORP,,,,,,,,,,2021-11-16,2021-07-13
WMT,USD,WALMART INC,,,,,,,,,,2021-11-16,2021-07-13
NVDA,USD,NVIDIA CORP,,,,,,,,,,2021-11-16,2021-07-13
ASX-NUF,AUD,NUFARM LTD,Materials,ASX200,,0.12,0.02%,8.68%,"4,607,379",,-2.01%,2021-11-17,2021-07-13
LOW,USD,LOWE'S COMPANIES INC,,,,,,,,,,2021-11-17,2021-07-13
ASX-ALL,AUD,ARISTOCRAT LEISURE LTD,Consumer Services,ASX200,0.0,0.98,0.02%,203775.99%,"77,496,823",,-0.97%,2021-11-17,2021-07-13
FUTU,USD,FUTU HOLDINGS LTD,,,,,,,,,,2021-11-17,2021-07-13
ASX-MSB,AUD,MESOBLAST LTD,"Pharmaceuticals, Biotechnology & Life Sciences",NORMAL,0.0,0.0,0.01%,94.87%,"3,080,486",,-1.46%,2021-11-18,2021-07-13
ASX-ALQ,AUD,ALS LTD,Commercial & Professional Services,ASX200,0.0,0.2,0.01%,1506.68%,"27,005,806",,-2.76%,2021-11-18,2021-07-13
ASX-LBY,AUD,LAYBUY HOLDINGS LTD,Software & Services,PENNY STOCK,-1.5,0.0,0.01%,38.51%,"204,693",0.3908,-4.42%,2021-11-21,2021-07-13
HPQ,USD,HP INC,,,,,,,,,,2021-11-22,2021-07-13
BBY,USD,BEST BUY CO INC,,,,,,,,,,2021-11-22,2021-07-13
ASX-TNE,AUD,TECHNOLOGYONE LTD,Software & Services,ASX200,0.0,0.17,0.01%,76.13%,"4,666,325",,-1.94%,2021-11-23,2021-07-13
ASX-ARX,AUD,AROA BIOSURGERY LTD,"Pharmaceuticals, Biotechnology & Life Sciences",NORMAL,0.0,0.0,0.07%,0.00%,"187,262",,-1.23%,2021-11-23,2021-07-13
ASX-VHT,AUD,VOLPARA HEALTH TECHNOLOGIES LTD,Health Care Equipment & Services,NORMAL,0.0,0.0,0.00%,17.72%,"148,903",,-0.85%,2021-11-23,2021-07-13
DE,USD,DEERE & CO,,,,,,,,,,2021-11-24,2021-07-13
ASX-WNR,AUD,WINGARA AG LTD,"Food, Beverage & Tobacco",PENNY STOCK,-2.8,0.0,0.00%,0.00%,"25,622",0.14,-7.14%,2021-11-24,2021-07-13
ASX-TGA,AUD,THORN GROUP LTD,Retailing,PENNY STOCK,7.0,0.0,0.00%,0.00%,"81,579",0.21,0.00%,2021-11-26,2021-07-13
ASX-CKF,AUD,COLLINS FOODS LTD,Consumer Services,ASX200,0.0,0.05,0.07%,39.68%,"4,510,791",,-1.69%,2021-11-28,2021-07-13
ASX-FNP,AUD,FREEDOM FOODS GROUP LTD,"Food, Beverage & Tobacco",PENNY STOCK,-0.5,0.0,0.07%,12.38%,"109,508",0.3701,0.00%,2021-11-29,2021-07-13
ASX-SHV,AUD,SELECT HARVESTS LTD,"Food, Beverage & Tobacco",NORMAL,0.0,0.0,0.01%,0.00%,"923,637",,0.77%,2021-11-29,2021-07-13
ZS,USD,ZSCALER INC,,,,,,,,,,2021-11-30,2021-07-13
DOCU,USD,DOCUSIGN INC,,,,,,,,,,2021-12-01,2021-07-13
EH,USD,EHANG HOLDINGS LTD,,,,,,,,,,2021-12-01,2021-07-13
ULTA,USD,ULTA BEAUTY INC,,,,,,,,,,2021-12-02,2021-07-13
ASX-MTS,AUD,METCASH LTD,Food & Staples Retailing,ASX200,0.0,0.16,0.36%,913368.17%,"11,861,912",,0.00%,2021-12-05,2021-07-13
MDB,USD,MONGODB INC,,,,,,,,,,2021-12-06,2021-07-13
ORCL,USD,ORACLE CORP,,,,,,,,,,2021-12-08,2021-07-13
LULU,USD,LULULEMON ATHLETICA INC,,,,,,,,,,2021-12-08,2021-07-13
ACN,USD,ACCENTURE PLC,,,,,,,,,,2021-12-15,2021-07-13
FDX,USD,FEDEX CORP,,,,,,,,,,2021-12-15,2021-07-13
GIS,USD,GENERAL MILLS INC,,,,,,,,,,2021-12-15,2021-07-13
BB,USD,BLACKBERRY LTD,,,,,,,,,,2021-12-15,2021-07-13
FDX,USD,FEDEX CORP,,,,,,,,,,2021-12-16,2021-07-13
NKE,USD,NIKE INC,,,,,,,,,,2021-12-17,2021-07-13
ASX-VEA,AUD,VIVA ENERGY GROUP LTD,Energy,ASX200,0.0,0.18,0.03%,254.29%,"19,380,170",,5.08%,2021-12-18,2021-07-13
BB,USD,BLACKBERRY LTD,,,,,,,,,,2021-12-21,2021-07-13
ASX-LKO,AUD,LAKES BLUE ENERGY NL,Energy,PENNY STOCK,,0.0,0.00%,0.00%,0,0.0,0.00%,2021-12-29,2021-07-13
